"isbn","path_2_cover_image"
"0345406354","covers/0345406354.jpg"
"055357938X","covers/055357938X.jpg"
"0812550919","covers/0812550919.jpg"
"0345320654","covers/0345320654.jpg"
"0345335511","covers/0345335511.jpg"
"067149175X","covers/067149175X.jpg"
"9780441790340","covers/9780441790340.jpg"
"0886774632","covers/0886774632.jpg"
"081257639X","covers/081257639X.jpg"
"9780765344328","covers/9780765344328.jpg"
"9780765344311","covers/9780765344311.jpg"
"9780553418026","covers/9780553418026.jpg"
"0553293354","covers/0553293354.jpg"
"9781977552037","covers/9781977552037.jpg"
"9781484707852","covers/9781484707852.jpg"
"9780812548051","covers/9780812548051.jpg"
"9780553582017","covers/9780553582017.jpg"
"9780553582024","covers/9780553582024.jpg"
"9780553573428","covers/9780553573428.jpg"
"9780345535429","covers/9780345535429.jpg"
"9780553593716","covers/9780553593716.jpg"
"9780547928227","covers/9780547928227.jpg"
"9780547928210","covers/9780547928210.jpg"
"9780547928203","covers/9780547928203.jpg"
"9780547928197","covers/9780547928197.jpg"
"9781449340377","covers/9781449340377.jpg"
"9781593275679","covers/9781593275679.jpg"
"9781435122963","covers/9781435122963.jpg"
"9780679732761","covers/9780679732761.jpg"
"9780451160911","covers/9780451160911.jpg"
"9780451124340","covers/9780451124340.jpg"
"9781565924970","covers/9781565924970.jpg"
"9781592400805","covers/9781592400805.jpg"
"9781622038930","covers/9781622038930.jpg"
"9780941532877","covers/9780941532877.jpg"
"9781250153708","covers/9781250153708.jpg"
"9780525555384","covers/9780525555384.jpg"
"9780385494786","covers/9780385494786.jpg"
"9780195015409","covers/9780195015409.jpg"
"9780062066312","covers/9780062066312.jpg"
"9780525478812","covers/9780525478812.jpg"
"9780393978896","covers/9780393978896.jpg"
"9780544586505","covers/9780544586505.jpg"
"0553575384","covers/0553575384.jpg"
"0553763423","covers/0553763423.jpg"
"0553573292","covers/0553573292.jpg"
"9780061336461","covers/9780061336461.jpg"
